survived,pclass,sex,age,fare,family_size,age_group,fare_per_person
0,3,male,22.0,7.25,2,young adult,3.62
1,1,female,38.0,71.2833,2,adult,35.64
1,3,female,26.0,7.925,1,young adult,7.93
1,1,female,35.0,53.1,2,young adult,26.55
0,3,male,35.0,8.05,1,young adult,8.05
0,3,male,28.0,8.4583,1,young adult,8.46
0,1,male,54.0,51.8625,1,adult,51.86
0,3,male,2.0,21.075,5,child,4.22
1,3,female,27.0,11.1333,3,young adult,3.71
1,2,female,14.0,30.0708,2,teen,15.04
1,3,female,4.0,16.7,3,child,5.57
1,1,female,58.0,26.55,1,senior,26.55
0,3,male,20.0,8.05,1,young adult,8.05
0,3,male,39.0,31.275,7,adult,4.47
0,3,female,14.0,7.8542,1,teen,7.85
1,2,female,55.0,16.0,1,adult,16.0
0,3,male,2.0,29.125,6,child,4.85
1,2,male,28.0,13.0,1,young adult,13.0
0,3,female,31.0,18.0,2,young adult,9.0
1,3,female,28.0,7.225,1,young adult,7.22
0,2,male,35.0,26.0,1,young adult,26.0
1,2,male,34.0,13.0,1,young adult,13.0
1,3,female,15.0,8.0292,1,teen,8.03
1,1,male,28.0,35.5,1,young adult,35.5
0,3,female,8.0,21.075,5,child,4.22
1,3,female,38.0,31.3875,7,adult,4.48
0,3,male,28.0,7.225,1,young adult,7.22
0,1,male,19.0,263.0,6,young adult,43.83
1,3,female,28.0,7.8792,1,young adult,7.88
0,3,male,28.0,7.8958,1,young adult,7.9
0,1,male,40.0,27.7208,1,adult,27.72
1,1,female,28.0,146.5208,2,young adult,73.26
1,3,female,28.0,7.75,1,young adult,7.75
0,2,male,66.0,10.5,1,senior,10.5
0,1,male,28.0,82.1708,2,young adult,41.09
0,1,male,42.0,52.0,2,adult,26.0
1,3,male,28.0,7.2292,1,young adult,7.23
0,3,male,21.0,8.05,1,young adult,8.05
0,3,female,18.0,18.0,3,teen,6.0
1,3,female,14.0,11.2417,2,teen,5.62
0,3,female,40.0,9.475,2,adult,4.74
0,2,female,27.0,21.0,2,young adult,10.5
0,3,male,28.0,7.8958,1,young adult,7.9
1,2,female,3.0,41.5792,4,child,10.39
1,3,female,19.0,7.8792,1,young adult,7.88
0,3,male,28.0,8.05,1,young adult,8.05
0,3,male,28.0,15.5,2,young adult,7.75
1,3,female,28.0,7.75,1,young adult,7.75
0,3,male,28.0,21.6792,3,young adult,7.23
0,3,female,18.0,17.8,2,teen,8.9
0,3,male,7.0,39.6875,6,child,6.61
0,3,male,21.0,7.8,1,young adult,7.8
1,1,female,49.0,76.7292,2,adult,38.36
1,2,female,29.0,26.0,2,young adult,13.0
0,1,male,65.0,61.9792,2,senior,30.99
1,1,male,28.0,35.5,1,young adult,35.5
1,2,female,21.0,10.5,1,young adult,10.5
0,3,male,28.5,7.2292,1,young adult,7.23
1,2,female,5.0,27.75,4,child,6.94
0,3,male,11.0,46.9,8,child,5.86
0,3,male,22.0,7.2292,1,young adult,7.23
1,1,female,38.0,80.0,1,adult,80.0
0,1,male,45.0,83.475,2,adult,41.74
0,3,male,4.0,27.9,6,child,4.65
0,1,male,28.0,27.7208,1,young adult,27.72
1,3,male,28.0,15.2458,3,young adult,5.08
1,2,female,29.0,10.5,1,young adult,10.5
0,3,male,19.0,8.1583,1,young adult,8.16
1,3,female,17.0,7.925,7,teen,1.13
0,3,male,26.0,8.6625,3,young adult,2.89
0,2,male,32.0,10.5,1,young adult,10.5
0,3,female,16.0,46.9,8,teen,5.86
0,2,male,21.0,73.5,1,young adult,73.5
0,3,male,26.0,14.4542,2,young adult,7.23
1,3,male,32.0,56.4958,1,young adult,56.5
0,3,male,25.0,7.65,1,young adult,7.65
0,3,male,28.0,7.8958,1,young adult,7.9
0,3,male,28.0,8.05,1,young adult,8.05
1,2,male,0.83,29.0,3,child,9.67
1,3,female,30.0,12.475,1,young adult,12.48
0,3,male,22.0,9.0,1,young adult,9.0
1,3,male,29.0,9.5,1,young adult,9.5
1,3,female,28.0,7.7875,1,young adult,7.79
0,1,male,28.0,47.1,1,young adult,47.1
1,2,female,17.0,10.5,1,teen,10.5
1,3,female,33.0,15.85,4,young adult,3.96
0,3,male,16.0,34.375,5,teen,6.88
0,3,male,28.0,8.05,1,young adult,8.05
1,1,female,23.0,263.0,6,young adult,43.83
0,3,male,24.0,8.05,1,young adult,8.05
0,3,male,29.0,8.05,1,young adult,8.05
0,3,male,20.0,7.8542,1,young adult,7.85
0,1,male,46.0,61.175,2,adult,30.59
0,3,male,26.0,20.575,4,young adult,5.14
0,3,male,59.0,7.25,1,senior,7.25
0,3,male,28.0,8.05,1,young adult,8.05
0,1,male,71.0,34.6542,1,senior,34.65
1,1,male,23.0,63.3583,2,young adult,31.68
1,2,female,34.0,23.0,2,young adult,11.5
0,2,male,34.0,26.0,2,young adult,13.0
0,3,female,28.0,7.8958,1,young adult,7.9
0,3,male,28.0,7.8958,1,young adult,7.9
0,1,male,21.0,77.2875,2,young adult,38.64
0,3,male,33.0,8.6542,1,young adult,8.65
0,3,male,37.0,7.925,3,adult,2.64
0,3,male,28.0,7.8958,1,young adult,7.9
1,3,female,21.0,7.65,1,young adult,7.65
1,3,male,28.0,7.775,1,young adult,7.78
0,3,male,38.0,7.8958,1,adult,7.9
1,3,female,28.0,24.15,2,young adult,12.07
0,1,male,47.0,52.0,1,adult,52.0
0,3,female,14.5,14.4542,2,teen,7.23
0,3,male,22.0,8.05,1,young adult,8.05
0,3,female,20.0,9.825,2,young adult,4.91
0,3,female,17.0,14.4583,1,teen,14.46
0,3,male,21.0,7.925,1,young adult,7.93
0,3,male,70.5,7.75,1,senior,7.75
0,2,male,29.0,21.0,2,young adult,10.5
0,1,male,24.0,247.5208,2,young adult,123.76
0,3,female,2.0,31.275,7,child,4.47
0,2,male,21.0,73.5,3,young adult,24.5
0,3,male,28.0,8.05,1,young adult,8.05
0,2,male,32.5,30.0708,2,young adult,15.04
1,2,female,32.5,13.0,1,young adult,13.0
0,1,male,54.0,77.2875,2,adult,38.64
1,3,male,12.0,11.2417,2,child,5.62
0,3,male,28.0,7.75,1,young adult,7.75
1,3,male,24.0,7.1417,1,young adult,7.14
1,3,female,28.0,22.3583,3,young adult,7.45
0,3,male,45.0,6.975,1,adult,6.97
0,3,male,33.0,7.8958,1,young adult,7.9
0,3,male,20.0,7.05,1,young adult,7.05
0,3,female,47.0,14.5,2,adult,7.25
1,2,female,29.0,26.0,2,young adult,13.0
0,2,male,25.0,13.0,1,young adult,13.0
0,2,male,23.0,15.0458,1,young adult,15.05
1,1,female,19.0,26.2833,3,young adult,8.76
0,1,male,37.0,53.1,2,adult,26.55
0,3,male,16.0,9.2167,1,teen,9.22
0,1,male,24.0,79.2,1,young adult,79.2
0,3,female,28.0,15.2458,3,young adult,5.08
1,3,female,22.0,7.75,1,young adult,7.75
1,3,female,24.0,15.85,2,young adult,7.93
0,3,male,19.0,6.75,1,young adult,6.75
0,2,male,18.0,11.5,1,teen,11.5
0,2,male,19.0,36.75,3,young adult,12.25
1,3,male,27.0,7.7958,1,young adult,7.8
0,3,female,9.0,34.375,5,child,6.88
0,2,male,36.5,26.0,3,adult,8.67
0,2,male,42.0,13.0,1,adult,13.0
0,2,male,51.0,12.525,1,adult,12.52
1,1,female,22.0,66.6,2,young adult,33.3
0,3,male,55.5,8.05,1,senior,8.05
0,3,male,40.5,14.5,3,adult,4.83
0,3,male,28.0,7.3125,1,young adult,7.31
0,1,male,51.0,61.3792,2,adult,30.69
1,3,female,16.0,7.7333,1,teen,7.73
0,3,male,30.0,8.05,1,young adult,8.05
0,3,male,28.0,8.6625,1,young adult,8.66
0,3,male,28.0,69.55,11,young adult,6.32
0,3,male,44.0,16.1,2,adult,8.05
1,2,female,40.0,15.75,1,adult,15.75
0,3,male,26.0,7.775,1,young adult,7.78
0,3,male,17.0,8.6625,1,teen,8.66
0,3,male,1.0,39.6875,6,child,6.61
1,3,male,9.0,20.525,3,child,6.84
1,1,female,28.0,55.0,2,young adult,27.5
0,3,female,45.0,27.9,6,adult,4.65
0,1,male,28.0,25.925,1,young adult,25.92
0,3,male,28.0,56.4958,1,young adult,56.5
0,1,male,61.0,33.5,1,senior,33.5
0,3,male,4.0,29.125,6,child,4.85
1,3,female,1.0,11.1333,3,child,3.71
0,3,male,21.0,7.925,1,young adult,7.93
0,1,male,56.0,30.6958,1,senior,30.7
0,3,male,18.0,7.8542,3,teen,2.62
0,3,male,28.0,25.4667,5,young adult,5.09
0,1,female,50.0,28.7125,1,adult,28.71
0,2,male,30.0,13.0,1,young adult,13.0
0,3,male,36.0,0.0,1,adult,0.0
0,3,female,28.0,69.55,11,young adult,6.32
0,2,male,28.0,15.05,1,young adult,15.05
0,3,male,9.0,31.3875,7,child,4.48
1,2,male,1.0,39.0,4,child,9.75
1,3,female,4.0,22.025,3,child,7.34
0,1,male,28.0,50.0,1,young adult,50.0
1,3,female,28.0,15.5,2,young adult,7.75
1,1,male,45.0,26.55,1,adult,26.55
0,3,male,40.0,15.5,3,adult,5.17
0,3,male,36.0,7.8958,1,adult,7.9
1,2,female,32.0,13.0,1,young adult,13.0
0,2,male,19.0,13.0,1,young adult,13.0
1,3,female,19.0,7.8542,2,young adult,3.93
1,2,male,3.0,26.0,3,child,8.67
1,1,female,44.0,27.7208,1,adult,27.72
1,1,female,58.0,146.5208,1,senior,146.52
0,3,male,28.0,7.75,1,young adult,7.75
0,3,male,42.0,8.4042,2,adult,4.2
1,3,female,28.0,7.75,1,young adult,7.75
0,2,female,24.0,13.0,1,young adult,13.0
0,3,male,28.0,9.5,1,young adult,9.5
0,3,male,28.0,69.55,11,young adult,6.32
0,3,male,34.0,6.4958,1,young adult,6.5
0,3,male,45.5,7.225,1,adult,7.22
1,3,male,18.0,8.05,1,teen,8.05
0,3,female,2.0,10.4625,2,child,5.23
0,3,male,32.0,15.85,2,young adult,7.93
1,3,male,26.0,18.7875,1,young adult,18.79
1,3,female,16.0,7.75,1,teen,7.75
1,1,male,40.0,31.0,1,adult,31.0
0,3,male,24.0,7.05,1,young adult,7.05
1,2,female,35.0,21.0,1,young adult,21.0
0,3,male,22.0,7.25,1,young adult,7.25
0,2,male,30.0,13.0,1,young adult,13.0
0,3,male,28.0,7.75,2,young adult,3.88
1,1,female,31.0,113.275,2,young adult,56.64
1,3,female,27.0,7.925,1,young adult,7.93
0,2,male,42.0,27.0,2,adult,13.5
1,1,female,32.0,76.2917,1,young adult,76.29
